customer_id,age,tenure_months,monthly_charges,login_frequency,support_tickets,payment_failures,usage_hours,contract_type,subscription_type,churn
10046,26,58,122.02,6,1,0,74.14,Yearly,Standard,0
10047,56,9,138.57,27,4,2,17.2,Monthly,Standard,0
10048,35,48,112.64,23,1,0,53.64,Two Year,Basic,0
10049,21,41,74.96,9,1,0,59.33,Monthly,Basic,0
10050,42,48,28.55,20,1,2,17.27,Monthly,Basic,1
10051,31,45,125.26,8,1,1,28.2,Two Year,Standard,1
10052,67,25,143.86,30,3,0,61.04,Monthly,Premium,0
10053,26,25,67.12,10,2,1,46.66,Monthly,Premium,1
10054,43,19,39.75,16,2,2,66.34,Two Year,Basic,1
10055,19,39,62.45,15,3,0,85.62,Two Year,Standard,0
10056,37,27,95.74,13,2,1,14.37,Monthly,Standard,0
10057,45,63,61.2,18,1,1,7.99,Two Year,Basic,1
10058,64,68,99.38,6,3,2,67.01,Monthly,Premium,1
10059,24,19,145.69,20,0,1,77.29,Monthly,Basic,0
10060,61,28,107.2,24,4,0,45.48,Yearly,Standard,0
10061,25,33,67.15,9,3,2,40.0,Two Year,Standard,0
10062,64,10,141.65,18,3,0,60.08,Monthly,Premium,0
10063,52,30,93.53,7,1,0,55.59,Yearly,Basic,0
10064,31,22,36.69,23,2,1,49.53,Monthly,Premium,0
10065,34,3,84.87,24,4,0,82.05,Two Year,Premium,0
10066,53,48,104.97,29,3,0,18.18,Monthly,Basic,0
10067,67,2,128.97,5,1,0,68.44,Monthly,Standard,0
10068,57,54,141.74,11,0,0,74.39,Two Year,Premium,0
10069,21,6,61.26,13,1,0,90.23,Two Year,Basic,0
10070,19,40,40.22,3,0,0,94.56,Yearly,Premium,0
10071,23,2,29.6,1,5,2,51.28,Monthly,Standard,0
10072,59,2,115.99,4,2,0,43.93,Yearly,Standard,0
10073,21,55,123.37,19,2,0,50.89,Two Year,Basic,1
10074,46,60,73.22,18,2,0,73.53,Yearly,Standard,0
10075,35,6,71.47,6,0,0,2.7,Monthly,Basic,1
10076,43,19,144.05,23,1,0,18.24,Two Year,Basic,0
10077,61,27,139.17,10,0,0,90.86,Two Year,Basic,0
10078,51,1,50.32,7,2,0,20.35,Yearly,Standard,0
10079,27,33,121.5,12,5,0,23.62,Two Year,Basic,0
10080,53,40,100.95,8,1,0,94.01,Monthly,Basic,0
10081,31,32,40.05,13,1,2,30.13,Monthly,Premium,1
10082,48,69,66.38,30,3,0,29.75,Monthly,Standard,0
10083,65,17,43.07,18,1,0,92.45,Two Year,Basic,1
10084,32,8,58.37,14,1,0,38.13,Two Year,Premium,1
10085,25,57,99.99,11,1,1,49.9,Two Year,Basic,0
10086,31,42,68.78,28,2,0,56.48,Yearly,Premium,0
10087,40,9,71.23,10,3,0,86.96,Yearly,Premium,0
10088,57,35,90.15,29,2,0,8.68,Two Year,Premium,0
10089,38,71,31.34,6,2,3,26.82,Yearly,Standard,0
10090,33,53,116.04,13,3,0,59.11,Monthly,Basic,0
10091,62,54,72.22,22,2,0,44.03,Monthly,Standard,1
10092,35,25,82.45,10,2,1,28.55,Two Year,Standard,0
10093,64,67,146.66,12,4,0,41.55,Monthly,Premium,0
10094,41,62,64.77,1,1,0,96.66,Monthly,Premium,0
10095,43,55,104.27,18,3,0,3.08,Yearly,Basic,0
10096,42,46,71.03,13,4,1,15.55,Two Year,Premium,0
10097,62,24,136.26,25,2,1,2.85,Monthly,Standard,0
10098,58,46,130.08,24,3,1,59.75,Monthly,Basic,0
10099,46,22,51.41,28,2,0,2.28,Two Year,Standard,1
10100,32,11,109.93,29,2,0,45.95,Monthly,Standard,0
10101,62,48,28.47,4,3,0,86.06,Two Year,Premium,0
10102,18,8,145.21,6,3,0,10.62,Monthly,Standard,0
10103,42,39,65.37,18,4,0,37.15,Monthly,Premium,0
10104,24,35,128.14,28,2,2,38.42,Two Year,Standard,0
10105,26,49,61.4,5,1,0,36.86,Monthly,Premium,0
10106,41,46,102.26,18,3,0,73.02,Monthly,Basic,0
10107,18,38,147.87,29,1,0,1.44,Two Year,Premium,0
10108,61,8,133.98,5,1,1,78.22,Yearly,Premium,0
10109,25,54,40.85,7,1,0,84.07,Monthly,Premium,0
10110,41,37,91.17,23,3,0,43.71,Yearly,Premium,1
10111,28,40,65.31,9,2,0,88.83,Two Year,Standard,0
10112,68,34,76.46,3,1,0,38.72,Two Year,Basic,0
10113,34,17,63.57,12,0,0,69.78,Monthly,Basic,0
10114,25,33,63.67,20,0,0,39.49,Yearly,Basic,1
10115,52,47,90.53,25,2,0,4.75,Yearly,Standard,1
10116,52,52,44.96,14,1,1,9.26,Monthly,Premium,0
10117,50,9,89.86,8,2,1,44.76,Yearly,Standard,0
10118,22,33,56.27,12,2,0,99.02,Monthly,Premium,0
10119,59,60,57.57,7,1,0,18.58,Monthly,Standard,0
10120,56,21,116.04,24,5,0,89.66,Monthly,Premium,0
10121,58,58,23.85,9,0,0,92.02,Yearly,Basic,0
10122,45,69,69.52,12,4,0,41.56,Monthly,Basic,0
10123,24,10,72.98,4,3,0,46.72,Yearly,Basic,0
10124,26,6,83.06,5,3,0,50.78,Monthly,Basic,0
10125,25,13,106.97,9,0,1,77.27,Yearly,Basic,0
10126,29,65,68.06,7,5,0,13.25,Monthly,Basic,0
10127,51,20,47.71,14,2,1,33.54,Monthly,Standard,1
10128,50,57,135.03,20,0,1,17.9,Yearly,Basic,1
10129,65,46,147.54,22,1,0,87.96,Monthly,Premium,0
10130,40,8,22.6,27,4,1,7.98,Yearly,Basic,0
10131,41,10,91.04,17,2,1,75.02,Two Year,Basic,1
10132,54,67,64.42,1,5,1,44.53,Monthly,Premium,0
10133,52,11,56.01,25,5,0,71.75,Monthly,Basic,0
10134,61,12,63.64,15,2,0,89.1,Monthly,Standard,0
10135,57,10,103.05,24,2,1,34.63,Two Year,Standard,0
10136,39,25,44.79,15,2,0,23.47,Yearly,Premium,0
10137,44,49,138.67,29,3,1,65.37,Yearly,Basic,0
10138,52,49,80.59,1,2,0,99.76,Yearly,Premium,0
10139,18,11,62.32,29,0,1,73.22,Two Year,Basic,1
10140,52,62,119.52,15,1,0,79.77,Monthly,Basic,0
10141,54,36,22.13,27,2,0,63.36,Yearly,Basic,0
10142,64,39,76.14,2,2,0,37.45,Two Year,Premium,1
10143,31,53,66.19,29,1,0,65.81,Yearly,Standard,0
10144,20,56,63.97,4,5,0,13.73,Monthly,Basic,0
10145,18,1,63.82,17,0,0,49.39,Two Year,Premium,0
10146,22,56,24.07,16,2,0,57.73,Monthly,Standard,0
10147,43,4,39.78,18,1,0,90.77,Monthly,Premium,1
10148,31,30,38.45,21,2,0,92.05,Monthly,Premium,0
10149,56,12,148.52,16,1,0,6.95,Two Year,Standard,1
10150,44,35,22.88,8,3,0,63.56,Monthly,Standard,1
10151,26,52,41.72,6,3,0,79.84,Two Year,Standard,0
10152,32,31,146.64,22,0,0,54.11,Monthly,Premium,0
10153,32,68,101.67,20,1,0,10.47,Yearly,Basic,0
10154,43,52,78.59,2,1,1,24.04,Monthly,Basic,1
10155,59,7,30.24,19,2,3,32.05,Monthly,Basic,0
10156,30,22,107.06,13,7,2,66.62,Monthly,Premium,1
10157,68,56,37.91,22,2,0,7.49,Two Year,Standard,0
10158,49,58,107.25,22,3,0,55.41,Monthly,Premium,0
10159,56,64,147.29,21,3,0,11.78,Yearly,Basic,0
10160,66,12,89.16,6,1,0,40.12,Two Year,Basic,0
10161,69,7,47.83,27,0,0,43.13,Monthly,Basic,0
10162,49,55,101.29,6,1,0,45.73,Yearly,Standard,0
10163,21,62,86.68,13,1,0,71.38,Monthly,Standard,0
10164,47,55,89.31,1,1,1,9.04,Monthly,Basic,0
10165,54,36,82.15,22,1,0,27.56,Yearly,Basic,0
10166,40,24,107.59,21,5,1,64.47,Monthly,Basic,0
10167,56,44,94.35,24,5,1,94.41,Monthly,Basic,0
10168,62,17,148.31,9,2,1,62.46,Monthly,Premium,0
10169,32,2,127.36,30,3,1,88.45,Monthly,Basic,1
10170,60,13,54.41,22,3,1,96.87,Yearly,Premium,0
10171,46,31,114.35,29,2,0,88.51,Yearly,Basic,0
10172,53,28,47.86,12,0,1,97.25,Monthly,Basic,0
10173,30,60,121.71,12,2,0,77.93,Yearly,Standard,0
10174,49,27,39.18,26,2,1,88.83,Yearly,Premium,0
10175,24,15,81.56,4,2,1,49.65,Yearly,Basic,0
10176,68,33,122.78,19,2,0,35.2,Two Year,Standard,0
10177,39,20,56.41,16,3,1,99.97,Two Year,Basic,0
10178,45,42,128.83,26,2,0,10.68,Yearly,Premium,0
10179,19,12,103.74,12,3,0,95.86,Monthly,Standard,0
10180,59,23,71.68,1,1,0,43.66,Monthly,Standard,0
10181,62,14,75.04,23,2,2,3.22,Monthly,Basic,1
10182,23,25,140.38,21,5,0,80.5,Yearly,Premium,1
10183,45,31,48.31,4,0,0,44.98,Two Year,Basic,0
10184,45,54,110.14,9,1,0,80.07,Monthly,Standard,0
10185,61,5,111.95,7,3,0,5.44,Monthly,Basic,0
10186,61,13,139.92,10,1,1,97.44,Monthly,Basic,0
10187,37,28,112.71,13,2,0,67.43,Monthly,Premium,0
10188,47,43,95.98,8,3,0,5.75,Yearly,Premium,0
10189,28,47,137.33,20,1,0,1.46,Monthly,Basic,1
10190,45,71,127.79,10,2,0,59.81,Two Year,Premium,0
10191,42,38,113.18,28,5,1,97.67,Two Year,Standard,0
10192,56,67,24.24,10,3,1,52.88,Monthly,Premium,0
10193,50,62,68.56,8,1,1,36.04,Monthly,Standard,0
10194,18,39,102.15,20,3,0,93.95,Two Year,Basic,0
10195,44,37,87.89,15,4,0,98.41,Two Year,Basic,0
10196,69,8,61.51,1,3,0,78.66,Two Year,Basic,0
10197,30,52,38.78,27,2,1,72.07,Monthly,Basic,0
10198,58,33,91.89,15,4,2,1.2,Monthly,Basic,0
10199,20,42,57.17,24,3,2,32.05,Yearly,Premium,0
10200,56,27,50.29,17,0,1,92.59,Two Year,Premium,0
10201,23,8,71.86,13,2,0,37.45,Monthly,Basic,1
10202,25,23,122.11,12,1,0,34.12,Two Year,Standard,0
10203,44,64,83.42,3,3,1,54.18,Monthly,Premium,0
10204,26,20,48.14,23,1,1,45.33,Monthly,Basic,0
10205,54,16,35.2,19,1,1,86.02,Monthly,Basic,0
10206,50,17,84.87,29,1,1,9.09,Monthly,Premium,0
10207,68,19,123.27,24,0,0,66.22,Monthly,Standard,1
10208,59,8,104.87,5,0,2,70.02,Monthly,Premium,1
10209,61,38,50.18,3,2,1,88.13,Yearly,Basic,0
10210,41,38,76.77,21,3,1,42.16,Yearly,Premium,0
10211,32,53,131.18,5,1,1,30.21,Monthly,Standard,0
10212,49,31,43.1,24,3,0,63.03,Two Year,Premium,0
10213,49,44,89.17,28,3,0,72.77,Monthly,Standard,0
10214,41,60,66.31,9,1,2,17.93,Yearly,Premium,1
10215,58,17,36.14,6,3,0,16.66,Yearly,Premium,1
10216,69,39,26.49,16,1,0,27.1,Two Year,Premium,0
10217,66,42,92.26,10,2,1,25.54,Monthly,Basic,0
10218,66,48,22.7,16,3,1,75.31,Monthly,Premium,0
10219,69,12,33.45,3,1,0,53.54,Monthly,Premium,1
10220,29,18,65.18,18,6,2,55.23,Monthly,Premium,0
10221,56,6,25.66,11,5,0,2.46,Monthly,Basic,1
10222,19,43,72.06,19,2,1,99.43,Monthly,Premium,0
10223,20,35,36.95,25,1,1,83.15,Yearly,Basic,0
10224,66,54,65.48,23,1,1,44.92,Monthly,Premium,0
10225,54,62,122.85,15,1,0,7.62,Monthly,Standard,0
10226,66,69,101.43,11,0,1,69.73,Monthly,Premium,0
10227,34,16,77.9,27,2,0,53.97,Two Year,Basic,0
10228,66,8,31.94,25,1,0,68.08,Monthly,Basic,0
10229,19,31,100.49,29,1,1,68.08,Monthly,Basic,0
10230,19,10,41.28,22,3,0,16.32,Monthly,Basic,0
10231,45,56,29.96,24,1,0,33.55,Monthly,Premium,0
10232,40,70,106.32,10,4,1,2.76,Monthly,Basic,0
10233,54,20,138.57,27,2,0,98.24,Monthly,Premium,0
10234,49,5,79.88,9,1,0,80.84,Monthly,Standard,0
10235,50,23,25.33,3,0,0,92.95,Two Year,Basic,0
10236,18,9,134.44,23,2,0,5.37,Monthly,Basic,0
10237,36,58,28.71,9,0,1,50.53,Monthly,Basic,0
10238,19,59,132.78,18,2,0,75.0,Yearly,Premium,0
10239,61,54,70.94,12,1,0,11.27,Two Year,Standard,0
10240,43,46,67.5,23,0,0,77.93,Two Year,Premium,0
10241,49,22,90.56,21,1,1,65.1,Monthly,Standard,0
10242,23,64,144.42,24,1,0,98.51,Two Year,Basic,1
10243,49,8,136.84,16,2,1,14.95,Monthly,Premium,0
10244,21,20,81.14,4,2,1,63.3,Two Year,Premium,1
10245,28,51,110.46,1,0,0,94.77,Monthly,Standard,0
10246,34,39,95.46,27,1,1,74.62,Monthly,Premium,0
10247,55,37,110.15,13,4,1,34.28,Monthly,Basic,0
10248,41,50,127.81,26,1,1,12.81,Monthly,Premium,0
10249,22,34,24.48,8,0,0,96.41,Two Year,Standard,0
10250,69,33,62.35,6,2,1,8.12,Monthly,Premium,0
10251,51,31,144.71,29,3,2,97.54,Monthly,Basic,0
10252,23,54,143.41,8,5,0,31.05,Monthly,Premium,0
10253,39,44,21.46,19,3,0,86.17,Monthly,Premium,0
10254,28,34,46.19,24,2,0,55.88,Monthly,Premium,0
10255,65,71,149.19,24,4,1,91.35,Monthly,Premium,0
10256,33,62,84.07,12,0,3,43.24,Two Year,Standard,0
10257,50,23,94.47,1,0,0,85.13,Monthly,Basic,1
10258,26,46,41.63,4,0,0,24.6,Two Year,Standard,0
10259,23,56,136.26,23,1,1,47.21,Yearly,Premium,0
10260,33,7,50.06,13,0,0,84.78,Monthly,Basic,1
10261,46,61,44.65,30,4,1,12.72,Yearly,Standard,0
10262,20,3,49.66,27,2,1,73.13,Two Year,Premium,0
10263,37,38,139.55,17,4,1,44.25,Yearly,Standard,0
10264,53,34,111.37,19,4,1,51.81,Yearly,Premium,0
10265,36,44,119.92,19,0,2,58.32,Yearly,Basic,0
10266,43,30,69.01,22,1,2,28.29,Two Year,Premium,0
10267,20,17,138.19,5,1,0,10.54,Yearly,Standard,0
10268,36,59,122.62,28,3,1,2.85,Monthly,Premium,0
10269,37,10,117.58,11,1,1,43.66,Monthly,Basic,0
10270,49,18,146.22,7,3,1,27.62,Monthly,Standard,0
10271,24,45,67.61,3,2,0,63.66,Yearly,Standard,0
10272,69,59,99.43,11,2,1,71.88,Yearly,Standard,0
10273,58,62,138.29,17,1,0,50.87,Monthly,Standard,1
10274,50,59,122.82,11,0,1,62.28,Yearly,Standard,0
10275,57,49,93.24,15,1,0,56.51,Monthly,Basic,0
10276,56,63,29.91,19,1,0,1.45,Monthly,Standard,0
10277,35,32,104.85,8,1,0,84.33,Monthly,Premium,0
10278,57,10,88.45,16,7,2,6.9,Yearly,Standard,1
10279,18,11,43.94,21,2,0,41.62,Monthly,Standard,0
10280,28,70,134.69,15,3,1,11.99,Two Year,Premium,0
10281,45,62,64.62,3,4,0,66.57,Two Year,Basic,0
10282,42,47,70.37,30,2,0,33.23,Monthly,Standard,0
10283,67,34,107.41,24,1,0,8.04,Monthly,Basic,0
10284,40,17,83.54,6,0,2,5.49,Monthly,Premium,0
10285,48,54,31.61,3,2,0,24.48,Yearly,Basic,0
10286,47,40,70.37,30,2,0,67.06,Monthly,Premium,0
10287,59,19,32.28,5,2,0,72.1,Monthly,Basic,0
10288,52,67,44.8,1,6,0,13.71,Monthly,Basic,0
10289,24,53,20.93,22,1,0,14.77,Monthly,Standard,0
10290,33,64,43.57,14,4,2,59.73,Monthly,Premium,0
10291,43,47,62.96,12,2,0,95.77,Two Year,Premium,0
10292,65,6,89.97,13,0,1,55.74,Two Year,Standard,1
10293,69,16,139.51,14,4,0,71.46,Yearly,Basic,0
10294,66,18,90.24,25,2,0,57.97,Yearly,Basic,1
10295,19,52,111.73,12,2,0,11.38,Monthly,Basic,0
10296,18,48,66.5,23,3,0,94.7,Two Year,Basic,0
10297,65,43,117.71,27,1,1,8.13,Monthly,Basic,0
10298,29,39,100.66,13,0,0,76.23,Yearly,Premium,0
10299,22,49,79.77,24,0,0,97.96,Monthly,Basic,0
10300,54,12,45.19,6,4,0,32.58,Yearly,Standard,1
10301,49,10,59.46,27,3,0,17.99,Yearly,Standard,0
10302,26,71,100.72,21,1,1,57.05,Two Year,Basic,0
10303,58,55,75.39,15,0,2,79.71,Yearly,Basic,0
10304,52,1,135.62,28,0,0,95.0,Monthly,Standard,0
10305,36,49,50.53,22,1,0,69.67,Two Year,Premium,0
10306,65,36,29.5,23,0,0,34.25,Yearly,Standard,1
10307,33,21,96.62,16,2,0,49.94,Monthly,Standard,0
10308,20,37,135.19,9,1,0,76.36,Monthly,Premium,0
10309,37,24,67.42,8,3,2,79.01,Monthly,Basic,0
10310,41,55,104.2,5,3,1,8.37,Monthly,Standard,0
10311,50,25,50.08,15,0,0,61.76,Monthly,Premium,0
10312,41,7,92.6,7,3,0,96.77,Two Year,Standard,0
10313,69,71,122.28,24,2,0,78.74,Monthly,Premium,0
10314,28,71,132.71,17,2,0,1.72,Two Year,Standard,0
10315,66,24,33.67,16,2,0,23.27,Yearly,Standard,1
10316,25,11,66.33,24,5,0,45.06,Two Year,Basic,0
10317,53,12,103.15,11,4,0,70.92,Yearly,Standard,1
10318,55,35,24.51,7,2,0,55.97,Yearly,Basic,0
10319,57,63,109.78,11,5,0,8.66,Monthly,Standard,0
10320,37,68,88.64,28,1,0,74.09,Yearly,Premium,0
10321,52,57,57.51,28,1,0,84.03,Monthly,Basic,0
10322,65,13,125.91,2,2,0,21.37,Monthly,Basic,0
10323,42,23,57.71,2,2,1,7.67,Two Year,Premium,1
10324,52,39,148.88,28,0,0,79.3,Yearly,Basic,0
10325,42,12,126.13,6,2,1,64.4,Yearly,Premium,0
10326,46,34,112.04,3,1,0,80.55,Monthly,Standard,0
10327,35,71,27.98,1,2,0,57.09,Yearly,Basic,0
10328,63,31,137.56,24,0,0,43.43,Yearly,Premium,1
10329,35,62,122.71,23,3,1,96.34,Monthly,Standard,0
10330,19,13,49.77,20,3,0,78.22,Two Year,Standard,0
10331,52,31,70.99,16,2,0,41.78,Monthly,Basic,0
10332,33,2,54.92,14,0,0,90.84,Yearly,Standard,1
10333,58,15,147.97,17,1,1,99.36,Monthly,Premium,0
10334,53,57,131.05,18,3,0,31.52,Yearly,Basic,0
10335,50,34,140.93,25,1,0,89.36,Monthly,Basic,0
10336,21,68,122.54,4,4,0,5.49,Two Year,Basic,0
10337,50,29,79.33,3,1,0,22.22,Yearly,Premium,1
10338,31,66,46.71,8,1,1,16.93,Yearly,Basic,0
10339,38,16,47.05,4,2,0,36.3,Monthly,Standard,0
10340,65,39,39.72,23,2,0,56.7,Two Year,Standard,0
10341,37,37,91.06,15,2,1,72.28,Yearly,Standard,0
10342,25,21,139.6,13,3,0,90.38,Monthly,Standard,0
10343,24,44,148.93,14,3,0,16.7,Monthly,Premium,1
10344,20,19,57.35,30,2,0,58.25,Monthly,Premium,1
10345,34,71,110.65,14,2,1,55.91,Monthly,Premium,0
10346,50,8,97.62,5,1,0,46.39,Yearly,Premium,1
10347,65,66,83.56,5,1,1,69.76,Yearly,Basic,0
10348,29,41,106.55,27,1,1,51.82,Monthly,Basic,0
10349,68,70,68.28,22,0,0,55.47,Monthly,Standard,0
10350,39,61,142.78,28,2,0,90.43,Monthly,Basic,0
10351,39,26,111.71,13,3,1,86.17,Monthly,Premium,1
10352,63,71,118.05,4,3,0,58.16,Monthly,Basic,1
10353,47,70,51.51,18,4,0,16.46,Monthly,Premium,0
10354,55,29,41.92,6,4,0,95.91,Yearly,Premium,1
10355,55,66,71.26,29,1,0,62.65,Yearly,Premium,0
10356,62,19,119.67,5,6,0,80.94,Two Year,Standard,0
10357,68,68,142.04,3,3,0,6.45,Yearly,Basic,1
10358,25,58,75.55,20,1,0,89.79,Monthly,Premium,0
10359,44,70,120.64,3,2,0,69.66,Yearly,Standard,1
10360,44,57,81.15,3,4,0,68.86,Monthly,Standard,0
10361,51,37,58.38,20,2,0,11.9,Two Year,Basic,0
10362,38,61,116.1,2,2,0,71.57,Yearly,Basic,0
10363,47,30,123.77,20,1,0,8.59,Monthly,Standard,1
10364,50,71,46.37,26,0,0,6.53,Monthly,Basic,0
10365,45,25,59.67,27,1,0,33.21,Two Year,Premium,0
10366,64,65,84.32,18,1,1,3.29,Two Year,Premium,0
10367,50,6,44.25,30,5,0,16.8,Monthly,Standard,0
10368,22,18,140.75,10,1,1,72.89,Monthly,Premium,0
10369,65,10,96.87,24,2,0,83.66,Two Year,Premium,1
10370,36,11,35.76,26,1,1,18.77,Two Year,Premium,0
10371,21,65,43.92,21,4,1,82.51,Two Year,Standard,0
10372,52,65,144.07,29,2,1,48.57,Two Year,Standard,0
10373,66,52,115.96,7,1,1,95.83,Yearly,Standard,0
10374,34,67,115.47,27,1,0,14.79,Two Year,Basic,0
10375,61,31,29.42,20,1,1,6.3,Monthly,Premium,0
10376,45,17,136.39,26,4,1,84.66,Two Year,Basic,0
10377,47,55,77.69,22,3,1,36.84,Monthly,Basic,0
10378,46,36,105.76,29,0,1,46.26,Yearly,Basic,0
10379,63,26,144.76,28,0,0,51.67,Monthly,Premium,0
10380,23,53,33.0,14,0,0,82.69,Two Year,Premium,0
10381,52,17,82.7,10,1,2,8.52,Monthly,Standard,0
10382,58,25,26.45,20,1,0,55.56,Two Year,Standard,0
10383,54,2,84.94,16,3,0,43.63,Monthly,Basic,0
10384,41,5,52.79,6,3,0,34.69,Monthly,Basic,1
10385,46,4,138.44,17,2,0,35.46,Two Year,Premium,1
10386,66,36,71.8,6,4,0,93.1,Yearly,Basic,0
10387,63,6,102.4,22,1,1,27.54,Two Year,Basic,0
10388,48,21,131.84,18,2,0,46.01,Yearly,Standard,1
10389,52,26,147.88,28,0,0,49.79,Yearly,Standard,0
10390,50,55,85.5,10,1,0,72.27,Two Year,Standard,1
10391,69,39,79.25,10,1,1,52.38,Two Year,Premium,0
10392,38,33,29.85,9,2,1,62.5,Monthly,Basic,0
10393,49,14,21.66,22,2,1,40.48,Monthly,Premium,0
10394,40,56,99.14,28,3,2,72.14,Yearly,Standard,0
10395,50,21,28.51,15,2,1,47.12,Two Year,Basic,1
10396,20,46,69.45,11,1,0,23.05,Yearly,Standard,0
10397,35,16,20.47,29,2,0,81.88,Yearly,Basic,0
10398,42,16,99.98,7,2,0,76.78,Monthly,Standard,0
10399,59,29,75.3,18,2,2,63.12,Yearly,Premium,0
10400,48,8,36.51,2,2,2,52.67,Monthly,Premium,0
10401,20,3,58.53,2,1,0,21.64,Monthly,Basic,1
10402,57,19,94.06,26,0,1,86.97,Monthly,Standard,0
10403,63,66,105.37,13,0,1,10.62,Monthly,Standard,0
10404,41,22,80.1,11,2,0,38.94,Two Year,Standard,1
10405,67,46,124.51,25,3,0,85.4,Monthly,Premium,0
10406,49,13,34.62,19,2,0,59.96,Yearly,Basic,0
10407,64,33,30.99,29,2,0,44.42,Monthly,Basic,0
10408,39,5,25.75,20,5,1,79.34,Two Year,Standard,1
10409,40,27,89.66,1,2,0,98.96,Yearly,Standard,0
10410,19,24,111.81,17,2,0,19.69,Monthly,Standard,0
10411,44,67,36.97,20,2,0,6.02,Monthly,Basic,0
10412,59,63,103.06,30,3,0,46.84,Monthly,Basic,0
10413,19,48,82.0,18,2,0,29.45,Yearly,Premium,0
10414,43,63,148.35,8,2,0,67.01,Monthly,Basic,0
10415,34,12,113.27,13,4,0,49.93,Monthly,Basic,0
10416,57,28,105.47,4,2,2,50.4,Monthly,Premium,1
10417,50,44,94.16,19,1,0,36.14,Monthly,Basic,0
10418,26,43,149.66,3,3,1,21.86,Yearly,Basic,0
10419,60,17,147.46,6,1,0,22.13,Monthly,Standard,0
10420,65,40,89.95,28,2,0,39.31,Two Year,Premium,0
10421,56,49,79.17,29,1,0,68.5,Monthly,Standard,0
10422,46,57,80.07,6,2,0,34.38,Monthly,Premium,0
10423,59,64,75.68,22,1,1,33.28,Monthly,Premium,0
10424,43,57,89.08,6,3,0,43.08,Monthly,Basic,1
10425,52,70,55.57,24,2,1,99.1,Two Year,Standard,0
10426,67,43,140.48,8,2,0,10.03,Monthly,Premium,0
10427,42,23,83.73,25,2,1,30.17,Monthly,Premium,1
10428,41,27,129.46,17,1,0,29.91,Monthly,Premium,1
10429,30,58,81.79,10,3,1,97.48,Monthly,Premium,0
10430,24,37,113.38,24,2,0,41.31,Yearly,Basic,0
10431,53,6,63.79,5,2,0,57.13,Monthly,Basic,0
10432,62,65,101.22,19,2,0,20.61,Yearly,Premium,0
10433,37,6,84.79,11,0,0,2.26,Two Year,Standard,0
